Iteration,MinCost,AvgCost,StdDevCost
0,102261.0,122776.45,7390.106026186825
1,102261.0,121846.19,7225.54016811969
2,102261.0,121180.89,7029.191240308395
3,102261.0,120622.37,6801.764516541634
4,102261.0,120190.1,6505.398504862766
5,102261.0,119674.95,6246.149452044253
6,102261.0,118907.43,6221.978946054986
7,102261.0,118373.14,6278.9110714222
8,102261.0,117852.24,6499.145704730209
9,102261.0,117329.46,6270.898389748111
10,102261.0,116488.06,6403.718550115308
11,102261.0,115752.47,6369.775296062117
12,99946.0,114775.54,6679.305102699644
13,99946.0,114206.22,6445.675636871403
14,99946.0,113805.3,6372.508374243064
15,92751.0,112797.05,6832.214084797479
16,92751.0,112431.0,6754.962947658738
17,92751.0,111732.59,6597.890547643759
18,92751.0,111052.21,6491.849158822861
19,92751.0,110276.15,6532.702230457025
20,92751.0,109801.15,6280.992129336565
21,92751.0,109117.35,6176.448409650218
22,92751.0,108415.44,6050.988431352653
23,92751.0,107827.61,5896.069875576168
24,92751.0,107201.32,5743.036616053682
25,91920.0,106464.05,5860.171960063557
26,91920.0,105926.57,5640.194608102874
27,91920.0,105181.64,5696.682365210562
28,91920.0,104353.01,5855.36813271343
29,90448.0,103503.4,6033.332451029569
30,90448.0,102951.49,5812.701664137136
31,90448.0,102144.54,5847.96122708892
32,90448.0,101538.74,5591.246798344713
33,90448.0,100778.41,5520.708214879535
34,90448.0,100056.41,5445.3083653580525
35,90448.0,99529.45,5214.949378246808
36,90448.0,99006.02,5050.683550058178
37,90448.0,98606.82,4785.97597021493
38,90448.0,98216.32,4562.7406456641775
39,90448.0,97826.95,4407.684704243284
40,90448.0,97492.33,4270.31760003299
41,90448.0,97148.8,4087.56080979077
42,90448.0,96714.84,3946.9742527560516
43,90032.0,96245.9,3844.1237550896362
44,90032.0,95971.7,3705.476199989263
45,90032.0,95549.32,3561.797692971425
46,90032.0,95165.22,3387.9590428993733
47,89151.0,94734.24,3274.4154945130394
48,87668.0,94231.28,3297.291076938857
49,87668.0,94034.42,3079.140041890878
50,87668.0,93624.08,2943.68836075637
51,87668.0,93202.56,2853.419994152684
52,87668.0,92921.52,2708.5546202558094
53,87668.0,92649.28,2524.5814137689194
54,85691.0,92255.36,2522.58485164273
55,85691.0,92067.26,2507.6886038217294
56,85691.0,91825.82,2363.65577737948
57,85691.0,91552.08,2323.8006037654363
58,84924.0,91125.6,2495.0348998591485
59,84645.0,90860.62,2549.88338723261
60,84645.0,90675.06,2600.905004964327
61,84645.0,90432.7,2609.3120595747882
62,84645.0,90130.24,2656.0643365701817
63,84645.0,89965.86,2601.1680516120587
64,84645.0,89660.94,2629.1051164864734
65,84645.0,89468.7,2562.2279466325886
66,84645.0,89384.0,2519.9007355790263
67,84645.0,89271.97,2576.491767379383
68,84645.0,89008.12,2473.3493966643287
69,84645.0,89005.34,2469.451250620655
70,84645.0,88841.32,2469.8439032996935
71,84645.0,88604.6,2407.1675714772573
72,84645.0,88455.02,2397.599544409686
73,84645.0,88286.0,2363.1916100601293
74,84645.0,88288.22,2366.6694988459367
75,83767.0,88078.34,2340.7400505486344
76,83767.0,87869.06,2240.2532181010524
77,83767.0,87780.13,2200.1818595862765
78,83767.0,87657.2,2069.7247267316598
79,83767.0,87612.54,2017.2147034958873
80,83767.0,87586.76,1987.3191125104934
81,82112.0,87381.6,2041.610831642208
82,81382.0,87085.14,2137.6208148029405
83,80927.0,86776.92,2259.694703970321
84,80927.0,86657.04,2167.488431201869
85,80927.0,86537.64,2148.6739228339575
86,80845.0,86208.7,2270.4219182497086
87,80845.0,86054.8,2282.509092550511
88,80380.0,85792.18,2316.70482366658
89,80380.0,85635.1,2344.5247563916514
90,80380.0,85393.28,2306.273613735834
91,80380.0,85294.88,2222.3304233860163
92,80221.0,84977.24,2278.4698707508055
93,80221.0,84910.9,2198.692432820337
94,80221.0,84731.62,2156.6452988496985
95,80221.0,84626.16,2093.704438828871
96,80221.0,84403.68,2092.3062761295996
97,80221.0,84414.93,2139.845431286564
98,80221.0,84192.44,2037.6021177607345
99,80221.0,84219.98,2090.618128978155
100,80221.0,84212.69,2073.1589213155617
101,80221.0,84150.7,2001.3905292333754
102,80221.0,84054.7,1951.7188720601016
103,80221.0,83881.94,1919.5973947627137
104,80221.0,83864.08,1899.4125071514172
105,80221.0,83823.6,2030.3650216678086
106,80221.0,83645.24,1820.6859797251357
107,80221.0,83556.92,1751.0616559185696
108,80137.0,83344.34,1749.8767819247137
109,80137.0,83354.06,1766.0497540379133
110,80137.0,83317.8,1722.6336777965269
111,80137.0,83196.98,1663.3961303503884
112,80137.0,83142.19,1643.745032300363
113,80137.0,83101.52,1599.8166718203506
114,79078.0,82863.1,1694.1061377790372
115,79078.0,82898.44,1858.6296479075136
116,79078.0,82691.64,1641.3814428121457
117,79078.0,82655.18,1631.8953062329247
118,79078.0,82534.68,1539.3643767621895
119,79078.0,82472.03,1698.6981673438556
120,79078.0,82410.3,1541.6717837752915
121,79078.0,82306.78,1465.5312173716768
122,79078.0,82256.9,1417.9170845242886
123,79078.0,82186.6,1344.2740521458886
124,79078.0,82209.88,1404.6465336320182
125,79078.0,82140.1,1300.5096320405717
126,79078.0,82148.87,1526.4835317907243
127,79078.0,82000.74,1245.643038025669
128,79078.0,82002.01,1247.86977673833
129,78934.0,81833.56,1256.4688721439409
130,78934.0,81813.03,1401.927889433589
131,78934.0,81669.8,1172.819687847207
132,78934.0,81658.4,1154.8329889309675
133,78934.0,81666.17,1183.4911380480987
134,78934.0,81571.28,1137.4199768055612
135,78934.0,81550.36,1180.5059651426475
136,78934.0,81554.83,1198.1248316524543
137,78934.0,81375.14,1116.8150966028352
138,76754.0,81248.38,1266.0611134658163
139,76754.0,81066.04,1356.3305213819835
140,76754.0,81104.26,1457.18065004607
141,76754.0,81084.06,1391.7655948869806
142,76754.0,80872.8,1453.0657106944475
143,76616.0,80705.46,1527.4715783366519
144,76600.0,80557.96,1587.2053574974748
145,76600.0,80455.56,1626.9017112849253
146,76600.0,80517.19,1808.2721073003377
147,76600.0,80404.29,1613.254827134488
148,76600.0,80231.86,1648.9423976316064
149,76491.0,80113.36,1701.0743576049256
150,76491.0,79981.72,1670.9837668543967
151,75520.0,79759.4,1776.4971662848725
152,75520.0,79659.32,1752.2147536846912
