Iteration,MinCost,AvgCost,StdDevCost
0,110005.0,124042.11,6097.990021384841
1,110005.0,123308.83,5688.572930086165
2,110005.0,122570.31,5527.005479425179
3,107350.0,121785.85,5662.656328477337
4,107350.0,121118.06,5506.998718472025
5,107350.0,120581.07,5254.379226479239
6,107350.0,120426.92,5083.89367737252
7,107350.0,119751.97,5109.187269482933
8,107350.0,119140.47,5068.740288296691
9,107350.0,118710.41,5031.700967682978
10,105678.0,118030.02,5146.062711815645
11,105678.0,117555.42,4973.2616701718
12,105678.0,117250.63,4727.373517807609
13,105678.0,117156.3,4736.308773504932
14,105678.0,116819.49,4572.249234294326
15,105678.0,116313.76,4452.935064571785
16,105678.0,115891.26,4323.455900274243
17,105678.0,115585.72,4162.297022878914
18,105678.0,115263.17,3962.9134473276226
19,105678.0,114941.15,3815.8011732052214
20,102873.0,114341.5,4060.793111815683
21,102873.0,114196.1,3964.1111745308563
22,102873.0,113894.78,3864.058662216518
23,102873.0,113650.08,3970.7443433190206
24,102873.0,113526.4,3859.6032611310366
25,102873.0,113353.48,3732.486041514557
26,102873.0,113119.15,3873.9590022366137
27,102873.0,113036.74,3775.087716206142
28,102873.0,112705.95,3818.1215947932124
29,102873.0,112489.64,3822.5279792199285
30,102873.0,112320.08,3680.599275096161
31,102873.0,112155.83,3666.0204445830645
32,102873.0,111813.71,3547.937882500313
33,102873.0,111746.74,3483.5741097588
34,102873.0,111324.16,3505.001406994055
35,102873.0,111202.96,3455.3958884415233
36,94896.0,110666.9,4001.8628957478836
37,94896.0,110624.63,4043.1582081413294
38,94896.0,110603.38,3992.273595359168
39,94896.0,110261.58,3985.9889770104087
40,94896.0,110186.7,3938.7194593926056
41,94896.0,110065.16,3848.9117567846565
42,94896.0,109678.3,3929.4958437258315
43,94896.0,109410.6,4052.6434271318203
44,94896.0,109272.18,3928.490180538302
45,94896.0,108886.08,3914.3647437445975
46,94896.0,108598.84,3858.88538552078
47,94896.0,108570.38,3826.532562268484
48,94896.0,108360.37,3802.976016081207
49,94896.0,108287.11,3791.127270044725
50,94896.0,108105.51,3699.3054125406466
51,94896.0,108156.05,3794.262107033288
52,94896.0,107939.74,3633.7556874896854
53,94896.0,107767.55,3694.6275092109327
54,94896.0,107330.92,3734.949952148021
55,94896.0,107192.59,3683.493782587889
56,94896.0,107132.13,3688.676964794567
57,94896.0,106943.19,3574.1357469006025
58,94896.0,106684.27,3637.899979342061
59,94896.0,106480.07,3568.565199195482
60,94896.0,106349.41,3476.324606476783
61,94896.0,106159.99,3890.5191014422317
62,94896.0,106080.7,3687.944075640316
63,94896.0,106003.47,3618.027959016102
64,94896.0,105891.57,3631.989488078834
65,94896.0,105659.36,3586.094317631578
66,94896.0,105752.49,3827.4296000492723
67,94896.0,105710.79,3692.3765506538175
68,94896.0,105660.75,3588.0390535778733
69,94896.0,105665.57,3595.190826070097
70,94896.0,105504.66,3474.431575397796
71,94896.0,105595.52,3703.133211951002
72,93919.0,104978.56,3808.324089425821
73,93919.0,105014.3,3868.979756154761
74,93919.0,104966.66,3794.4461626451
75,93919.0,104704.58,3919.340220140645
76,93919.0,104666.19,3897.1615174160133
77,93919.0,104365.4,3802.5055960617346
78,93919.0,103971.1,3822.9856873465487
79,93919.0,103555.78,3805.1153942071614
80,93919.0,103319.3,3838.1514397881015
81,93919.0,102918.16,3879.3727617549807
82,93919.0,102679.1,3913.1245891876547
83,93919.0,102659.46,3969.908134244851
84,92911.0,102302.68,4006.4746509729584
85,90902.0,101775.82,4211.1178519761625
86,90902.0,101727.53,4252.488109366448
87,90902.0,101617.16,4081.085750561282
88,90902.0,101498.1,4013.129815890824
89,90902.0,101401.78,3945.0073563962087
90,90902.0,101267.54,3835.3197235983107
91,90902.0,100886.52,3829.8202201654162
92,90902.0,101041.13,4307.497585324426
93,90902.0,100657.72,3878.637296054303
94,85988.0,100092.18,4296.302594961713
95,85988.0,99855.44,4174.273643510819
96,85988.0,99646.86,4166.728726859036
97,85988.0,99272.47,4521.2644549747565
98,85988.0,99155.36,4443.955930647305
99,85988.0,98907.58,4816.116330476962
100,85988.0,98749.2,4571.812999348301
101,85988.0,98313.52,4585.107457141583
102,85988.0,98198.28,4477.621739948631
103,85988.0,98048.16,4373.45411122951
104,85988.0,98048.47,4385.55602006764
105,85988.0,98037.55,4366.5228946375555
106,83852.0,97485.22,4639.77385938826
107,83852.0,97349.55,4607.676838273231
108,83852.0,97237.65,4618.279401881006
109,83852.0,97117.05,4544.928311988112
110,83852.0,97051.62,4519.060751568144
111,83852.0,96675.82,4567.059893222644
112,83852.0,96701.53,4906.078642414485
113,83852.0,96383.68,4377.7914612717495
114,83852.0,96463.07,4549.367404698074
115,83852.0,96353.16,4395.575469891872
116,83852.0,96193.6,4237.365328750039
117,83852.0,95999.12,4226.008588670301
118,83852.0,96046.54,4454.066219453043
119,83852.0,95674.74,4213.923317965928
120,83852.0,95603.82,4154.898973792774
121,83852.0,95427.68,4025.5182209338845
122,83852.0,95214.75,4104.6371125542355
123,83852.0,95205.56,4121.698601305049
124,83852.0,95000.7,3995.158935410695
125,83852.0,94918.02,3937.0697789143137
126,83852.0,94992.78,4104.295152469649
127,83852.0,94932.42,3959.143293668212
128,83852.0,94968.25,4035.0580744447057
129,83852.0,94588.8,3884.668382815249
130,83852.0,94583.4,4000.2562165416102
131,83852.0,94181.08,3751.1560768284853
132,83852.0,94315.05,4123.329911992408
133,83852.0,94128.1,3702.092753778025
134,83852.0,94146.48,3931.4722496923478
135,83852.0,94076.59,3721.539485660918
136,83852.0,94150.84,3948.3001270589007
137,83852.0,94146.4,3931.167326056542
138,83852.0,93825.06,3586.5239433696293
139,83852.0,93874.23,3673.229495466304
140,83852.0,93517.04,3595.396045730785
141,83852.0,93479.08,3558.9122832685835
142,83852.0,93559.59,3905.2541377875873
143,83852.0,93173.74,3447.1148809438077
144,83852.0,93298.63,3795.6517616952965
145,83852.0,93179.55,3454.106489953573
146,83852.0,93140.64,3417.7729281335864
147,83852.0,92987.32,3421.2964666522653
148,83852.0,92902.15,3449.460316081665
149,83852.0,92970.96,3656.6792075141984
150,82983.0,92549.96,3585.90150653158
151,82983.0,92649.25,3830.007301137646
152,82983.0,92431.16,3531.6621454344904
153,82983.0,92310.15,3598.231104068057
154,82983.0,92353.77,3776.8664122603814
155,82983.0,92288.22,3574.1408788432195
156,82983.0,92330.16,3798.972659426586
157,81938.0,91783.16,3682.0694354773877
158,81938.0,91622.98,3662.3556336700494
159,81938.0,91676.77,3766.8163441835177
160,81938.0,91677.01,3767.448035058836
161,81938.0,91720.45,3904.4652173938475
162,81938.0,91633.51,3676.848902033348
163,81938.0,91769.58,4109.564282195249
164,81938.0,91616.77,3837.8187903779117
165,81938.0,91473.45,3562.1508069159736
166,81938.0,91557.29,3765.771943332724
167,81938.0,91012.96,3695.1565074493737
168,81938.0,90979.16,4267.779962993084
169,81938.0,90859.53,3806.879011365047
170,81938.0,90778.24,3680.415383671201
171,81938.0,90625.08,3563.954170141458
172,81938.0,90651.02,3607.781332205446
173,81938.0,90418.1,3584.8407836952038
174,81938.0,90320.26,3516.767132329109
175,81938.0,90324.69,3523.3253796963063
176,81938.0,90375.82,3637.415403244119
177,81938.0,90276.2,3467.570913536454
178,81938.0,90383.57,3765.495498415296
179,81938.0,90288.34,3485.9844752982194
180,81938.0,90150.49,3626.8858932598464
181,81938.0,90050.35,3590.093463725259
182,81938.0,90019.55,3496.1927181903566
183,81938.0,89919.23,3909.135249784933
184,81938.0,89793.95,3458.8609393085967
185,81938.0,89774.99,3425.6541290708556
186,81938.0,89809.53,3615.6554862224502
187,81938.0,89519.4,3275.4857331209346
188,81938.0,89732.2,4163.91160309436
189,81938.0,89465.64,3216.5409223970005
190,81938.0,89397.94,3134.931026644475
191,81938.0,89483.61,3365.080703236243
192,81938.0,89212.26,3013.3822589887063
193,81938.0,89324.37,3359.973402537225
194,81938.0,89249.5,3383.8013693286885
195,81938.0,89109.26,2938.573314320465
196,81938.0,89023.82,2883.595340626845
197,81938.0,88824.36,2952.6100951770477
198,81938.0,88925.82,3244.6841634908137
199,81938.0,88657.28,2942.0295958793995
200,81938.0,88680.34,2981.299812179414
201,81938.0,88771.46,3293.3621929173496
202,81938.0,88760.02,3241.796633618058
203,81938.0,88902.08,4068.108586097823
204,81938.0,88737.35,3149.409553047727
205,81938.0,88801.47,3443.0558058096
206,81938.0,88614.29,3223.5423870504806
207,81938.0,88374.96,2831.731361452626
208,81938.0,88354.96,2808.247931153566
209,81938.0,88322.59,2904.844383234338
210,81938.0,88326.02,3041.69939203649
211,81938.0,88252.18,2774.7740225761872
212,81938.0,88252.59,2775.7847415122305
213,81938.0,88299.55,3008.927636671788
214,81938.0,88129.34,2645.2253659693492
215,81938.0,88215.21,2899.7666826902478
216,81938.0,88238.74,3008.791010665012
217,81938.0,88275.39,3205.7360203582302
218,81938.0,88182.22,2773.4356062873035
219,81938.0,88088.02,2602.7784337806274
220,81938.0,88329.84,3778.7201770125316
221,81938.0,88125.82,3051.9589912782976
222,81938.0,88183.4,3405.0259554922277
223,81938.0,87853.46,2560.1359671121004
224,81938.0,87851.66,2557.779581645539
225,81938.0,87920.71,2735.1055462987056
226,81938.0,88080.65,3649.282360266124
227,81938.0,87870.64,2589.4382079376355
228,81938.0,88064.56,3535.3441085784857
229,81938.0,87888.45,2631.2776301963495
230,81938.0,87907.27,2792.2267094687545
231,81938.0,87942.14,2963.722921590275
232,81938.0,87935.49,2928.5891749193065
233,81938.0,87946.52,2987.446578635678
234,81938.0,87878.38,2704.1138236607444
235,81938.0,87752.36,2454.067847555165
236,81938.0,87791.71,2559.552061090835
237,81938.0,87770.9,2588.9274894161376
238,81938.0,87899.71,3326.650717442182
239,81938.0,87850.13,3000.8116028598974
240,81938.0,87736.16,2475.7869750563327
241,81938.0,87595.3,2374.4449580029977
242,81938.0,87626.57,2435.691743176418
243,81938.0,87686.34,2653.2723276830225
244,81938.0,87735.29,2911.8471810793226
245,81938.0,87719.33,2820.819094650962
246,81938.0,87761.29,3072.1417505142117
247,81938.0,87773.77,3153.8063385872524
248,81938.0,87690.08,2670.7473802838276
249,81938.0,87739.85,2966.678928728489
250,81938.0,87625.8,2441.624244124175
251,81938.0,87581.63,2510.928226510441
252,81938.0,87514.86,2330.953440075108
253,81938.0,87447.2,2289.3659834243645
254,81938.0,87566.95,2720.861870934846
255,81938.0,87568.89,2731.6150434044575
256,81938.0,87483.75,2365.78777267817
257,81938.0,87576.98,2777.4690098372043
258,81938.0,87617.97,3032.3986387250297
259,81938.0,87540.67,2585.1512979774207
260,81938.0,87570.79,2742.238661139191
261,81938.0,87480.65,2609.682342118994
262,81938.0,87479.54,2603.9255773783652
263,81938.0,87375.79,2258.7590822879233
264,81938.0,87489.37,2730.033009956939
265,81938.0,87421.98,2397.257540767716
266,81938.0,87399.98,2320.8807104897123
267,81938.0,87435.4,3163.4454142420236
268,81938.0,87249.18,2243.932683140171
269,81938.0,87287.5,2343.425130750787
270,81938.0,87348.83,2642.671180984891
271,81938.0,87169.78,2178.04904166063
272,81938.0,87196.57,2229.9519234524073
273,81938.0,87318.47,2797.543357568341
274,81938.0,87139.12,2147.259843134825
275,81938.0,87230.56,2443.731764281337
276,81938.0,87206.76,2335.9312166433515
277,81938.0,87360.47,3283.4608941687356
278,81938.0,87265.52,2633.268869483308
279,81938.0,87221.04,2398.35991064938
280,81938.0,87198.58,2939.808545886049
281,81938.0,87035.41,2163.323995380696
