Iteration,MinCost,AvgCost,StdDevCost
131,85049.0,89850.82,1762.767219545176
132,85049.0,89800.77,1674.5124111969208
133,85049.0,89771.82,1632.1692411999413
134,85049.0,89688.02,1595.2874727797748
135,85049.0,89644.27,1577.2303871154666
136,85049.0,89699.24,1769.9804548370162
137,85049.0,89475.78,1545.1324717161033
138,85049.0,89351.5,1604.4128445501724
139,85049.0,89419.12,2151.7957653452095
140,85049.0,89304.48,1588.432767277739
141,85049.0,89132.48,1531.3001835437792
142,85049.0,89131.09,1673.7526282294677
143,85049.0,88959.04,1506.4884174527172
144,85049.0,88964.21,1515.1914590159051
145,81442.0,88738.26,1782.1967582880757
146,81442.0,88604.72,1858.3744177004903
147,81442.0,88468.56,1831.2272990008805
148,81442.0,88287.32,2035.1102959711243
149,81442.0,88246.68,2003.8061302622984
150,81442.0,88137.47,2074.9821343030326
151,81442.0,87914.82,2049.119462923851
152,81442.0,87859.32,1997.5302472014907
153,81442.0,87845.8,1998.322407531989
154,81071.0,87652.7,2168.621190684733
155,81071.0,87482.92,2157.8495265875094
156,81071.0,87391.22,2132.7780175918992
157,81071.0,87268.16,2185.6371316188583
158,81071.0,87127.06,2161.110614307543
159,80079.0,86841.84,2351.1062976025273
160,80079.0,86603.18,2393.3606454928477
161,80079.0,86632.38,2464.3745033020555
162,80079.0,86518.05,2453.795424923141
163,80079.0,86331.64,2322.4923721265177
164,80079.0,86200.8,2355.615075482067
165,80079.0,86067.82,2388.111055147388
166,80079.0,86121.53,2958.0729819880503
167,80079.0,85875.38,2300.999571025294
168,80079.0,85698.14,2368.1244081604436
169,80079.0,85585.36,2360.3305603112867
170,80079.0,85449.13,2412.3172800643306
171,80079.0,85316.64,2314.0739602124504
172,80079.0,85215.38,2465.402226203606
173,80079.0,85162.42,2370.1252542446105
174,80079.0,84978.27,2384.2005790434478
175,80079.0,84855.8,2326.8921137626708
176,80079.0,84889.71,2401.9152976049522
177,80079.0,84897.62,2425.9084928656266
178,80079.0,84789.36,2258.902260976881
179,80079.0,84904.95,2680.741629539004
180,80079.0,84658.31,2321.3264785680212
181,80079.0,84645.62,2296.9320239894523
182,80079.0,84583.16,2241.846392344642
183,80079.0,84700.33,2679.0827770645005
184,80079.0,84596.67,2265.814782230387
185,80079.0,84454.0,2234.535632955871
186,80079.0,84338.74,2209.061986683511
187,80079.0,84237.94,2152.1500774712704
188,80079.0,84113.46,2159.2485805778065
189,75224.0,83789.14,2421.2462022936065
190,75224.0,83774.26,2604.4824167173597
191,75224.0,83512.16,2494.7603950453577
192,75224.0,83108.92,2733.8264583997397
193,75224.0,83049.03,2698.3861112063846
194,75224.0,82848.74,2613.7754172302507
195,75224.0,82790.46,2585.404231215668
196,75224.0,82786.39,2579.0134590810517
197,75224.0,82612.8,2628.0375056899647
198,75224.0,82406.88,2571.3497743835283
199,75224.0,82287.72,2543.3124907998595
200,75224.0,82264.93,2753.888572142631
201,75224.0,82256.63,2718.553609992645
202,75224.0,82031.62,2506.7390776936404
203,75224.0,81975.95,2503.576792321439
204,75224.0,81866.66,2495.1687508770897
205,75224.0,81849.52,2452.76776040143
206,75224.0,81644.38,2331.573690523942
207,75224.0,81649.97,2340.561183916491
208,75224.0,81380.64,2307.640412441096
209,75224.0,81506.46,2799.489843207548
210,75224.0,81311.38,2247.5128151228446
211,75224.0,81119.28,2154.4561482066547
212,75224.0,80917.4,2108.380708534683
213,75224.0,80858.24,2052.7121901907185
214,75224.0,80711.68,2081.499454089224
215,75224.0,80437.2,2122.6202694030812
216,75224.0,80380.18,2076.4006998319533
217,75224.0,80516.45,2628.7889494801766
218,74053.0,80165.32,2191.2225860962144
219,74053.0,80198.6,2258.6984452703437
220,74053.0,80070.92,2169.09693856427
221,72809.0,79847.7,2336.2513896315945
222,72809.0,79905.58,2476.731277675917
223,72809.0,79636.2,2313.731631068318
224,72809.0,79539.34,2244.364080459444
225,72809.0,79375.86,2334.2826554544667
226,72809.0,79315.16,2297.936222620707
227,72809.0,79333.02,2516.4547451612248
228,72809.0,79052.08,2230.748661211063
229,72809.0,79004.04,2198.651046124933
230,72809.0,79076.52,2395.0556581542246
231,72809.0,78884.74,2217.6907892597824
232,72809.0,78787.78,2203.880483019518
233,72809.0,78758.7,2173.3645865943954
234,72809.0,78727.18,2146.595629259399
235,72809.0,78639.04,2335.270632641272
236,72809.0,78680.62,2510.9112305449526
237,72809.0,78278.02,2343.0304687250095
238,72202.0,78019.7,2419.1097055893865
239,72202.0,78003.7,2541.241275877248
240,72202.0,77955.75,2407.4533314125306
241,72202.0,77884.48,2345.2300633628697
242,72202.0,77806.26,2309.1357761568015
243,72202.0,77641.64,2244.65018542968
244,72202.0,77658.49,2273.591532013709
245,72126.0,77471.18,2332.591810225551
246,72126.0,77348.16,2329.0288985980937
247,72126.0,77261.62,2288.493544370677
248,72126.0,77263.96,2373.190504384553
249,72126.0,77204.14,2238.0115453615776
250,72126.0,77079.08,2352.540538106484
251,72126.0,77037.16,2251.936938313641
252,72126.0,77019.88,2231.7631851850847
253,72126.0,77035.69,2500.988542718275
254,72126.0,76894.02,2153.823328151334
255,72126.0,76879.67,2306.985015056875
256,72126.0,76741.58,2042.9169291466405
257,72126.0,76621.22,2009.1848620017447
258,72126.0,76693.77,2231.4542970670473
259,72126.0,76626.73,2017.7884676300957
260,72126.0,76593.44,1978.7997807057723
261,72126.0,76559.58,1943.519457691186
262,72126.0,76471.08,1872.0028472740153
263,72126.0,76536.24,2109.2297704722605
264,72126.0,76388.94,1818.2216465435658
265,72126.0,76436.47,1939.9604466185501
266,72126.0,76260.6,1773.355149102538
267,72126.0,76371.3,2217.1549405269425
268,68393.0,76054.46,2057.2159397171367
269,68393.0,75975.22,2071.6225309421284
270,68369.0,75667.86,2255.7858717958893
271,68369.0,75561.24,2256.552009620255
272,68369.0,75467.48,2245.712874061881
273,68369.0,75453.08,2295.1723144747352
274,68369.0,75323.14,2195.094218175308
275,68369.0,75325.26,2197.724468810429
276,68369.0,75335.93,2213.9991753805734
277,68369.0,75410.22,2511.230285551428
278,68369.0,75249.22,2149.7514377342336
279,68369.0,75133.04,2168.3747203093767
280,68369.0,75201.13,2348.080874035241
281,68369.0,75154.89,2204.82815425556
282,68369.0,75122.1,2156.816633350872
283,68369.0,75144.62,2277.905842184568
284,68369.0,75117.62,2373.5133732358227
285,68369.0,75036.93,2110.4473375916004
286,68369.0,74884.46,2064.635660964242
287,68369.0,74900.22,2088.5510156686396
288,68369.0,74832.12,2037.3840589433214
289,68369.0,74808.44,2160.780285176649
290,68369.0,74785.4,2086.2323780810075
291,68369.0,74729.01,2037.3133848727882
292,68369.0,74719.96,2017.2473740423627
293,68369.0,74750.95,2101.3988048128053
294,68369.0,74724.84,2027.5904081027566
295,68369.0,74730.68,2347.6062938037694
296,68369.0,74654.5,2027.7925426333918
297,68369.0,74472.96,2067.5172146144932
298,67397.0,74279.58,2261.0876982978657
299,67397.0,74098.2,2225.6832976446
300,67397.0,74042.8,2600.4784757867737
301,67397.0,73911.47,2765.921011072975
302,67397.0,73803.03,2364.737922801458
303,67397.0,73665.76,2414.8420368691413
304,67397.0,73677.08,2440.2940072909664
305,67397.0,73688.85,2572.4501796473487
306,67397.0,73693.85,2593.9617972428887
307,67397.0,73707.02,2654.2993177640737
308,67397.0,73555.8,2313.2268074329118
309,67397.0,73433.76,2370.3272080308475
310,67397.0,73383.6,2326.1060234484653
311,67397.0,73232.8,2429.7076516995357
312,67397.0,73225.39,2517.0837538988276
313,67397.0,73091.0,2305.464873475257
314,67397.0,73020.9,2262.2597288569855
315,67397.0,73131.35,2654.3845426963007
316,67397.0,72894.96,2223.885887996118
317,67397.0,72866.42,2195.460257214897
318,67397.0,72914.01,2305.013299968203
319,67397.0,72820.76,2261.01470078629
320,67397.0,72588.1,2187.204500098819
321,67397.0,72535.82,2141.5497333011017
322,67397.0,72545.04,2153.7246333651005
323,67397.0,72410.88,2119.4832192701306
324,67397.0,72222.52,2137.8371987793757
325,67397.0,72268.47,2237.8636478037747
326,67397.0,72092.2,2183.6720810542406
327,67397.0,71896.52,2175.267509289305
328,67397.0,71889.98,2168.1365782206117
329,67397.0,71954.1,2345.024194917288
330,67397.0,71887.15,2165.2832943865556
331,66984.0,71888.36,2843.0417432636114
332,66984.0,71765.03,2288.422421868194
333,66984.0,71653.42,2219.2533742206856
334,66984.0,71712.44,2365.261961787486
335,66984.0,71732.5,2445.5286202216553
336,66984.0,71595.68,2169.5842122723457
337,66984.0,71667.0,2362.209195399146
338,66984.0,71631.23,2239.4319033174374
339,66984.0,71593.51,2280.5403864971227
340,66984.0,71630.21,2438.2740803297897
341,66984.0,71614.82,2366.4865120505488
342,66984.0,71591.95,2274.905385422933
343,66984.0,71426.92,2145.6280645804277
344,66984.0,71550.71,2607.316648773159
345,66984.0,71394.36,2117.0906925316262
346,66984.0,71370.9,2093.443215124187
347,66984.0,71421.53,2216.5687353851376
348,66984.0,71276.6,2055.738477255482
349,66763.0,71165.78,2180.7568215524343
350,66763.0,71006.28,2043.5265521379772
351,66763.0,71019.27,2384.362587058784
352,66763.0,70940.72,2071.674226954195
353,66763.0,71013.72,2355.0417958503454
354,66763.0,70829.44,2011.2791563700164
355,66763.0,70789.22,1978.4260685420793
356,66763.0,70746.66,1944.6073438142112
357,66763.0,70739.52,1935.6358414503154
358,66763.0,70806.38,2137.2394910304747
359,66763.0,70735.29,2199.5790703604353
360,66763.0,70667.57,1947.1393067520848
361,66404.0,70580.19,2164.159564380827
362,66404.0,70334.58,1964.512421478015
363,66404.0,70267.3,1924.669587280378
364,66404.0,70149.86,1934.9094412552195
365,66404.0,70180.86,2003.564873525248
366,66404.0,70103.11,2211.6861792430104
367,66404.0,69924.39,2017.318666928801
368,66404.0,69729.12,1884.2449136313078
369,66404.0,69802.38,2176.249604018321
370,66404.0,69747.6,2433.6682500939096
371,66404.0,69632.54,1869.707190493158
372,66404.0,69602.4,1812.8641327017212
373,66404.0,69543.78,1760.3196827436047
374,66404.0,69659.58,2262.4396065604346
375,66404.0,69407.94,1661.6218973331356
376,66404.0,69467.69,1858.8969287774355
377,66404.0,69326.68,1621.359317973594
378,66404.0,69314.53,1649.2669290115875
379,66404.0,69295.67,1593.612477481222
380,66404.0,69304.97,1618.5506576607795
381,66404.0,69185.8,1547.9312620136566
382,66404.0,69259.25,2458.33454904952
383,66404.0,69103.98,1706.630190069473
384,66404.0,68964.48,1449.1562677933834
385,66404.0,69049.46,1868.7850664660355
386,66404.0,69089.79,2158.3548134885264
387,66404.0,69022.23,1699.6972686780182
388,66404.0,68915.98,1373.6524855694438
389,66404.0,68924.8,1392.5746013058044
390,66404.0,69017.38,1851.3366275982519
391,66404.0,68982.48,1632.5261919101717
392,66404.0,68985.37,1648.9438717009753
393,66404.0,68832.76,1345.0752006313755
394,66404.0,68826.94,1341.428635538404
395,66404.0,68811.02,1309.5497489788256
396,66404.0,68893.03,1677.942098512221
397,66404.0,68762.26,1265.4282911330852
398,66404.0,68736.3,1233.6197415195118
399,66404.0,68828.26,1663.0495028377504
400,66404.0,68812.45,1559.3214101335907
401,66404.0,68704.96,1197.792564965599
402,66404.0,68711.02,1261.4686004411644
403,66404.0,68596.32,1131.2276774291806
404,66404.0,68629.37,1505.539083658821
405,66404.0,68494.2,1086.6588584958367
406,66404.0,68551.57,1303.8444417889116
407,65612.0,68403.76,1134.0472182997203
408,65612.0,68431.71,1427.5780457357373
409,65612.0,68406.62,1282.688943138002
410,65612.0,68417.32,1340.657029334136
411,65612.0,68504.03,1968.3347443353164
412,65612.0,68375.93,1155.91737371167
413,65612.0,68401.26,1256.0739589303769
414,65612.0,68352.3,1107.0643179329754
415,65612.0,68465.73,1690.140194143251
416,65612.0,68318.49,1156.1062872304335
417,65612.0,68326.13,1295.027503744436
418,65612.0,68343.47,1400.515694739663
419,65612.0,68371.84,1598.8576017604166
420,65612.0,68293.02,1140.6952689327927
421,65612.0,68322.63,1275.5374914208528
422,65612.0,68442.07,2172.899734842077
423,65612.0,68433.43,2425.73991733773
424,65612.0,68299.89,1349.544029955258
425,65612.0,68223.96,1048.7037686322265
426,65612.0,68322.25,1535.438991449887
427,65612.0,68218.74,1041.9388456045767
428,65612.0,68268.47,1216.8208574358466
429,65612.0,68275.7,1256.687938892379
430,65612.0,68225.59,1053.8855868651115
431,65612.0,68299.88,1408.9039531106828
432,65612.0,68303.5,1433.812523845204
433,65612.0,68236.54,1313.2955110689823
434,65612.0,68298.92,1773.7420848123165
435,65612.0,68251.06,1409.2944923118823
436,65612.0,68206.58,1148.3532010420115
437,65612.0,68173.64,1038.9857964633227
438,65612.0,68201.54,1126.0776873643301
439,65612.0,68196.01,1103.7691668262723
440,65612.0,68053.32,1036.367577238653
441,65612.0,68277.4,2669.855305730135
442,65612.0,68187.63,1871.1117996441785
443,65612.0,68081.22,1135.438255441128
444,65612.0,68041.7,1021.7443640434458
445,65612.0,68134.03,1469.904810049297
446,65612.0,68138.82,1505.0155835295084
447,65612.0,68076.99,1126.708538714481
448,65612.0,68137.5,1495.2690950683982
449,65612.0,68064.49,1077.5467413049746
450,65612.0,68044.42,1025.9063711783072
451,65612.0,68153.15,1613.9869535915202
452,65612.0,68119.45,1367.8183497375621
453,65612.0,68100.36,1247.3571294881224
454,65612.0,68089.72,1188.2545987771946
455,65612.0,67980.28,1027.1034301187083
456,65612.0,68052.47,1337.7397450003252
457,65612.0,67987.16,1039.2396863363936
458,65612.0,68041.48,1269.036829388113
459,65612.0,67984.49,1034.0033262455536
460,65612.0,68059.43,1384.001826464317
461,65612.0,68085.78,1574.7796740554477
462,65612.0,68003.12,1243.7565067491337
463,65612.0,67845.9,976.8021469793329
464,65612.0,67823.62,953.3842302582158
465,65612.0,67880.0,1181.7151975331485
466,65612.0,67801.46,930.897779109777
467,65612.0,67812.48,955.1433281836488
468,65612.0,67835.71,1043.1949496279653
469,65177.0,67657.56,972.9743455876508
470,65177.0,67728.41,1291.7290745040896
471,65177.0,67583.2,994.7610240401938
472,65177.0,67606.61,1057.6354501214184
473,65177.0,67636.32,1359.0637811420484
474,65177.0,67581.29,1042.862932924882
475,65093.0,67553.94,1371.2232157729636
476,65093.0,67546.23,1319.0974558692803
477,65093.0,67447.19,1003.6085567852265
478,65093.0,67356.76,1002.8789580225744
479,65093.0,67419.48,1270.1619596084445
480,65093.0,67321.08,973.1097053189114
481,65093.0,67360.96,1109.983218728367
482,65093.0,67355.89,1085.433711155652
483,65093.0,67422.06,1511.9134295937247
484,65093.0,67311.56,959.859988948304
485,65093.0,67376.78,1237.9016261236577
486,65093.0,67375.75,1231.3157319786758
487,65093.0,67338.6,1035.1037619387719
488,65093.0,67400.13,1399.2804547373987
489,65093.0,67448.76,1787.2806448441004
490,65093.0,67495.23,2194.9422571498826
491,65093.0,67324.31,986.8592635019423
492,65093.0,67334.35,1018.9017594717095
493,65093.0,67322.43,981.8847291373521
494,65093.0,67330.73,1006.3120071113957
495,65093.0,67325.81,991.0662118459221
496,65093.0,67249.36,967.3230323366072
497,65093.0,67277.03,1044.5717256368755
498,65093.0,67278.34,1267.9973809041555
499,65093.0,67257.75,1139.9513933904943
500,65093.0,67159.4,909.8458965976356
501,65093.0,67298.95,1769.9950543502212
502,65093.0,67281.47,1621.9656266519348
503,65093.0,67162.02,913.9040461977207
504,65093.0,67190.73,1003.1300292866152
505,65093.0,67355.61,2276.0730442868685
506,65093.0,67210.96,1107.159582814592
507,65093.0,67282.24,1628.3746319008355
508,65093.0,67179.2,1142.1965193822336
509,65093.0,67268.65,1841.9028992875928
510,65093.0,67136.35,933.4286355564456
511,65093.0,67159.04,1027.1320857689927
512,65093.0,67227.1,1491.2068158631678
513,65093.0,67203.84,1311.519010748817
514,65093.0,67212.47,1376.3391748923789
515,65093.0,67184.37,1175.4663949069559
516,65093.0,67208.26,1444.797085609553
517,65093.0,67216.38,1510.3580669844653
518,65093.0,67130.28,947.7588138830097
519,65093.0,67171.63,1332.4941196451446
520,65093.0,67101.63,929.0776098644909
521,65093.0,67082.36,866.069252368995
522,65093.0,67111.52,974.7183429487762
523,65093.0,67177.1,1421.6802656637594
524,65093.0,67110.5,969.6441031990483
525,65093.0,67045.24,834.8812910234665
526,65093.0,67130.01,1273.8903073069146
527,65093.0,67090.46,1005.9957569643636
528,65093.0,67080.7,953.640780049667
529,65093.0,67060.2,869.4645281186379
530,65093.0,67107.29,1110.718106915658
531,65093.0,67211.38,1965.5320341764307
532,65093.0,67004.34,824.5389433440419
533,65093.0,66998.18,816.5788620701603
534,65093.0,66997.24,815.2501397135914
535,64005.0,66953.35,1029.612228418588
536,64005.0,67026.37,1530.7061330502258
537,64005.0,66905.64,891.0470236658884
538,64005.0,67051.95,1814.491521700565
539,64005.0,66857.22,856.9323556863881
540,64005.0,66929.66,1194.4730228951353
541,64005.0,67007.33,1826.224233385939
542,64005.0,66887.56,946.896422396597
543,64005.0,66846.1,845.4074685492126
544,64005.0,66824.82,831.8346691306373
545,64005.0,66936.09,1473.4528409984707
546,64005.0,66875.22,1027.1963468341849
547,64005.0,66921.74,1356.9186544327094
548,64005.0,66884.49,1085.0097843900867
549,64005.0,66907.43,1246.324618892111
550,64005.0,66806.2,817.788320639111
551,64005.0,66792.08,807.0996543929456
552,64005.0,66862.83,1393.025346959892
553,64005.0,66751.68,794.4718451444788
554,64005.0,66832.95,1204.2918986992843
555,64005.0,66843.82,1288.423705168608
556,64005.0,66827.64,1164.673288562466
557,64005.0,66844.31,1292.3025703109638
558,64005.0,66791.83,933.1489975433514
559,64005.0,66696.48,821.1207477735795
560,64005.0,66844.41,1778.6690523756204
561,64005.0,66739.11,970.9478956466232
562,64005.0,66700.45,826.9799794212895
563,64005.0,66722.34,906.268219266529
564,64005.0,66735.3,971.4425439322781
565,64005.0,66694.91,820.4243924563517
566,64005.0,66777.2,1441.1581762210867
567,64005.0,66713.17,974.132082544469
568,64005.0,66856.6,2148.149168117719
569,64005.0,66796.94,1609.3646140667133
570,64005.0,66621.8,808.4581909193861
571,64005.0,66655.56,913.6953752689562
572,64005.0,66604.2,796.1603564177967
573,64005.0,66624.62,843.4018271382877
574,64005.0,66720.5,1479.8967988861707
575,64005.0,66686.42,1205.7613813217226
576,64005.0,66750.65,1742.1486117302206
577,64005.0,66720.4,1480.879570738385
